EmpNo,Attrition,JobRole,Department,DistanceFromHome,Education,EducationField,Age,Gender,YearsAtCompany,YearsInCurrentRole,Years Since Last Promotion,Years CurrManager,Monthly Income,EnvironmentSatisfaction,JobLevel,Job Satisfaction,Marital Status,Num Companies Worked,Over Time,Performance Rating,Relationship Satisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,,,,,,,,
1,Yes,Sales Executive,Sales,1,Some university,Life Sciences,41,Female,6,4,0,5,5993,2,2,4,Single,8,Yes,3,1,0,8,0,1,,,,,,,,
2,No,Research Scientist,Research & Development,8,High school or below,Life Sciences,49,Male,10,7,1,7,5130,3,2,2,Married,1,No,4,4,1,10,3,3,1,,,,,Sales,1,Some university
4,Yes,Laboratory Technician,Research & Development,2,Some university,Other,37,Male,0,0,0,0,2090,4,1,3,Single,6,Yes,3,2,0,7,3,3,,,,,,Research & Development,8,High school or below
5,No,Research Scientist,Research & Development,3,Master's,Life Sciences,33,Female,8,7,3,0,2909,4,1,3,Married,1,Yes,3,3,0,8,3,3,,,,,,Research & Development,2,Some university
7,No,Laboratory Technician,Research & Development,2,High school or below,Medical,27,Male,2,2,2,2,3468,1,1,2,Married,9,No,3,4,1,6,3,3,,,,,,Research & Development,3,Master's
8,No,Laboratory Technician,Research & Development,2,Some university,Life Sciences,32,Male,7,7,3,6,3068,4,1,4,Single,0,No,3,3,0,8,2,2,,,,,,Research & Development,2,High school or below
10,No,Laboratory Technician,Research & Development,3,Bachelor's,Medical,59,Female,1,0,0,0,2670,3,1,1,Married,4,Yes,4,1,3,12,3,2,1,,,,,Research & Development,2,Some university
11,No,Laboratory Technician,Research & Development,24,High school or below,Life Sciences,30,Male,1,0,0,0,2693,4,1,3,Divorced,1,No,4,2,1,1,2,3,1,,,,,Research & Development,3,Bachelor's
12,No,Manufacturing Director,Research & Development,23,Bachelor's,Life Sciences,38,Male,9,7,1,8,9526,4,3,3,Single,0,No,4,2,0,10,2,3,1,,,,,Research & Development,24,High school or below
13,No,Healthcare Representative,Research & Development,27,Bachelor's,Medical,36,Male,7,7,7,7,5237,3,2,3,Married,6,No,3,2,2,17,3,2,,,398,,,Research & Development,23,Bachelor's
14,No,Laboratory Technician,Research & Development,16,Bachelor's,Medical,35,Male,5,4,0,3,2426,1,1,2,Married,0,No,3,3,1,6,5,3,,,36,,,Research & Development,27,Bachelor's
15,No,Laboratory Technician,Research & Development,15,Some university,Life Sciences,29,Female,9,5,0,8,4193,4,2,3,Single,0,Yes,3,4,0,10,3,3,,,,,,,,
16,No,Research Scientist,Research & Development,26,High school or below,Life Sciences,31,Male,5,2,4,3,2911,1,1,3,Divorced,1,No,3,4,1,5,1,2,,,,,,,,
18,No,Laboratory Technician,Research & Development,19,Some university,Medical,34,Male,2,2,1,2,2661,2,1,4,Divorced,0,No,3,3,1,3,2,3,,,,,,,,
19,Yes,Laboratory Technician,Research & Development,24,Bachelor's,Life Sciences,28,Male,4,2,0,3,2028,3,1,3,Single,5,Yes,3,2,0,6,4,3,,,,,,,,
20,No,Manufacturing Director,Research & Development,21,Master's,Life Sciences,29,Female,10,9,8,8,9980,2,3,1,Divorced,1,No,3,3,1,10,1,3,,,,,,,,
21,No,Research Scientist,Research & Development,5,Some university,Life Sciences,32,Male,6,2,0,5,3298,1,1,2,Divorced,0,Yes,3,4,2,7,5,2,,,,,,,,
22,No,Laboratory Technician,Research & Development,16,Some university,Medical,22,Male,1,0,0,0,2935,4,1,4,Divorced,1,Yes,3,2,2,1,2,2,,,,,,,,
23,No,Manager,Sales,2,Master's,Life Sciences,53,Female,25,8,3,7,15427,1,4,4,Married,2,No,3,3,0,31,3,3,,,,,,,,
24,No,Research Scientist,Research & Development,2,Bachelor's,Life Sciences,38,Male,3,2,1,2,3944,4,1,4,Single,5,Yes,3,3,0,6,3,3,,,,,,,,
26,No,Manufacturing Director,Research & Development,11,Some university,Other,24,Female,4,2,1,3,4011,1,2,3,Divorced,0,No,3,4,1,5,5,2,,,,,,,,
27,Yes,Sales Representative,Sales,9,Master's,Life Sciences,36,Male,5,3,0,3,3407,3,1,1,Single,7,No,4,2,0,10,4,3,1,,,,,,,
28,No,Research Director,Research & Development,7,Master's,Life Sciences,34,Female,12,6,2,11,11994,1,3,2,Single,0,No,3,3,0,13,4,3,,,,,,,,
30,No,Research Scientist,Research & Development,15,Some university,Life Sciences,21,Male,0,0,0,0,1232,3,1,4,Single,1,No,3,4,0,0,6,3,,,,,,,,
31,Yes,Research Scientist,Research & Development,6,High school or below,Medical,34,Male,4,2,1,3,2960,2,1,1,Single,2,No,3,3,0,8,2,3,,,,,,,,
32,No,Manager,Research & Development,5,Bachelor's,Other,53,Female,14,13,4,8,19094,3,5,3,Divorced,4,No,3,4,1,26,3,2,,,,,,,,
33,Yes,Research Scientist,Research & Development,16,High school or below,Life Sciences,32,Female,10,2,6,7,3919,2,1,1,Single,1,Yes,4,2,0,10,5,3,1,,,,,,,
35,No,Sales Executive,Sales,8,Master's,Marketing,42,Male,9,7,4,2,6825,3,2,2,Married,0,No,3,4,1,10,2,3,,,,,,,,
36,No,Healthcare Representative,Research & Development,7,Master's,Medical,44,Female,22,6,5,17,10248,1,3,4,Married,3,No,3,4,1,24,4,3,,,,,,,,
38,No,Manager,Sales,2,Master's,Marketing,46,Female,2,2,2,1,18947,2,5,1,Single,3,No,3,4,0,22,2,2,,,,,,,,
39,No,Laboratory Technician,Research & Development,2,Bachelor's,Medical,33,Male,1,1,0,0,2496,3,1,4,Single,4,No,3,4,0,7,3,3,,,,,,,,
40,No,Healthcare Representative,Research & Development,10,Master's,Other,44,Male,4,2,1,3,6465,4,2,4,Married,2,Yes,3,4,0,9,5,4,,,,,,,,
41,No,Laboratory Technician,Research & Development,9,Some university,Medical,30,Male,10,0,1,8,2206,4,1,3,Single,1,No,3,1,0,10,5,3,,,,,,,,
42,Yes,Sales Representative,Sales,5,Bachelor's,Technical Degree,39,Male,1,0,0,0,2086,4,2,4,Married,3,No,3,3,1,19,6,4,,,,,,,,
45,Yes,Research Scientist,Research & Development,1,Bachelor's,Medical,24,Male,2,0,2,0,2293,2,1,4,Married,2,Yes,3,1,1,6,2,2,,,,,,,,
46,No,Research Scientist,Research & Development,2,Some university,Medical,43,Female,5,3,1,4,2645,4,1,3,Divorced,1,No,3,4,2,6,3,2,,,,,,,,
47,Yes,Sales Representative,Sales,3,Some university,Marketing,50,Male,3,2,0,2,2683,1,1,3,Married,1,Yes,3,3,0,3,2,3,,,,,,,,
49,No,Sales Representative,Sales,2,Bachelor's,Marketing,35,Female,2,2,2,2,2014,4,1,4,Married,1,No,3,1,0,2,3,3,,,,,,,,
51,No,Research Scientist,Research & Development,5,Master's,Life Sciences,36,Female,1,1,0,0,3419,2,1,1,Married,9,Yes,3,4,1,6,3,4,,,,,,,,
52,No,Sales Executive,Sales,1,Bachelor's,Life Sciences,33,Female,5,3,1,3,5376,3,2,1,Married,2,No,3,1,2,10,3,3,,,,,,,,
53,No,Laboratory Technician,Research & Development,4,Some university,Other,35,Male,1,0,0,0,1951,3,1,4,Divorced,1,No,3,3,1,1,3,3,,,,,,,,
54,No,Laboratory Technician,Research & Development,2,Master's,Life Sciences,27,Female,1,0,0,0,2341,4,1,1,Divorced,1,No,3,4,1,1,6,3,,,,,,,,
